G70	G65	9.89550317623158
G65	G70	9.89550317623158
G82	G77	9.43833847274384
G77	G82	9.43833847274384
G49	G48	9.33223010285899
G48	G49	9.33223010285899
G5	G6	9.09924956447514
G6	G5	9.09924956447514
G84	G95	8.65928221343286
G95	G84	8.65928221343286
G98	G77	8.60201703102583
G77	G98	8.60201703102583
G81	G72	8.51350693880601
G72	G81	8.51350693880601
G14	G16	8.19385047813429
G16	G14	8.19385047813429
G20	G23	8.03745472517078
G23	G20	8.03745472517078
G48	G59	7.99972473653595
G59	G48	7.99972473653595
G68	G62	7.85507838376604
G62	G68	7.85507838376604
G54	G49	7.78916076191172
G49	G54	7.78916076191172
G44	G40	7.73905569539016
G40	G44	7.73905569539016
G34	G37	7.73189146428493
G37	G34	7.73189146428493
G49	G50	7.63386514557696
G50	G49	7.63386514557696
G23	G24	7.46652833701004
G24	G23	7.46652833701004
G22	G24	7.33937706603845
G24	G22	7.33937706603845
G58	G74	7.2995307554203
G74	G58	7.2995307554203
G51	G61	7.24264269041874
G61	G51	7.24264269041874
G32	G38	6.47768321510201
G38	G32	6.47768321510201
G23	G21	6.36580475837237
G21	G23	6.36580475837237
G1	G2	6.35705001370491
G2	G1	6.35705001370491
G98	G82	6.29957087517119
G82	G98	6.29957087517119
G14	G7	6.2141736559849
G7	G14	6.2141736559849
G32	G39	6.14251615990252
G39	G32	6.14251615990252
G66	G64	6.12780419216098
G64	G66	6.12780419216098
G20	G24	6.12285769387313
G24	G20	6.12285769387313
G84	G99	5.95677191161492
G99	G84	5.95677191161492
G36	G3	5.8774513537266
G3	G36	5.8774513537266
G4	G2	5.85185369202957
G2	G4	5.85185369202957
G42	G11	5.67962327099044
G11	G42	5.67962327099044
G42	G99	5.65351235809699
G99	G42	5.65351235809699
G45	G41	5.57278257761968
G41	G45	5.57278257761968
G49	G59	5.53900744914039
G59	G49	5.53900744914039
G25	G28	5.41403467317955
G28	G25	5.41403467317955
G92	G37	5.31885746763377
G37	G92	5.31885746763377
G99	G30	5.25652896829025
G30	G99	5.25652896829025
G86	G95	5.25220006462262
G95	G86	5.25220006462262
G31	G25	5.18642698477824
G25	G31	5.18642698477824
G84	G96	5.07687335646475
G96	G84	5.07687335646475
G95	G99	4.96666091725693
G99	G95	4.96666091725693
G26	G31	4.95932470048979
G31	G26	4.95932470048979
G57	G67	4.93186157639971
G67	G57	4.93186157639971
G97	G64	4.84667210228641
G64	G97	4.84667210228641
G36	G34	4.83628054788513
G34	G36	4.83628054788513
G96	G99	4.78173975041424
G99	G96	4.78173975041424
G54	G48	4.66397890376271
G48	G54	4.66397890376271
G90	G11	4.62626910953174
G11	G90	4.62626910953174
G99	G8	4.53578551752197
G8	G99	4.53578551752197
G31	G28	4.53434914774627
G28	G31	4.53434914774627
G18	G56	4.46171956247023
G56	G18	4.46171956247023
G7	G42	4.40843751834157
G42	G7	4.40843751834157
G33	G92	4.35868563860677
G92	G33	4.35868563860677
G9	G19	4.2661900646265
G19	G9	4.2661900646265
G22	G23	4.22036719036185
G23	G22	4.22036719036185
G95	G96	4.19162011045027
G96	G95	4.19162011045027
G43	G11	4.14522579150568
G11	G43	4.14522579150568
G99	G49	4.13430680857315
G49	G99	4.13430680857315
G69	G53	4.13153193030025
G53	G69	4.13153193030025
G6	G43	4.12609114995375
G43	G6	4.12609114995375
G90	G6	4.1237421353748
G6	G90	4.1237421353748
G6	G7	4.11344642476806
G7	G6	4.11344642476806
G91	G92	4.0493641220508
G92	G91	4.0493641220508
G92	G94	4.04844803013042
G94	G92	4.04844803013042
G6	G14	4.03939509082378
G14	G6	4.03939509082378
G89	G91	4.01968406758926
G91	G89	4.01968406758926
G20	G21	3.99115678628611
G21	G20	3.99115678628611
G92	G88	3.97619208220427
G88	G92	3.97619208220427
G99	G81	3.95421848776369
G81	G99	3.95421848776369
G43	G68	3.93717695457328
G68	G43	3.93717695457328
G37	G35	3.89483674129401
G35	G37	3.89483674129401
G97	G66	3.87715545979745
G66	G97	3.87715545979745
G60	G56	3.83643517736264
G56	G60	3.83643517736264
G100	G12	3.82776127468803
G12	G100	3.82776127468803
G9	G10	3.80025643100866
G10	G9	3.80025643100866
G99	G29	3.77362892232922
G29	G99	3.77362892232922
G99	G15	3.76443187102017
G15	G99	3.76443187102017
G57	G28	3.71484470808509
G28	G57	3.71484470808509
