G72	G81	1.9838849772015164
G81	G72	1.9838849772015164
G65	G70	1.9829052586538207
G70	G65	1.9829052586538207
G77	G98	1.9822623399482764
G98	G77	1.9822623399482764
G48	G49	1.9814526384610711
G49	G48	1.9814526384610711
G84	G95	1.9802244730079
G95	G84	1.9802244730079
G49	G50	1.9750349241016858
G50	G49	1.9750349241016858
G14	G16	1.974118992111473
G16	G14	1.974118992111473
G77	G82	1.9733363704196414
G82	G77	1.9733363704196414
G48	G59	1.971857539576281
G59	G48	1.971857539576281
G49	G54	1.9709742604139162
G54	G49	1.9709742604139162
G34	G37	1.968701749734591
G37	G34	1.968701749734591
G62	G68	1.9685866318802505
G68	G62	1.9685866318802505
G49	G59	1.9683941892480912
G59	G49	1.9683941892480912
G23	G24	1.9680878526973227
G24	G23	1.9680878526973227
G40	G44	1.967495941461412
G44	G40	1.967495941461412
G64	G66	1.9668546537422213
G66	G64	1.9668546537422213
G51	G61	1.966609218650655
G61	G51	1.966609218650655
G58	G74	1.9662372698641077
G74	G58	1.9662372698641077
G1	G2	1.9641179650972584
G2	G1	1.9641179650972584
G82	G98	1.964048868648626
G98	G82	1.964048868648626
G48	G54	1.9632374858512687
G54	G48	1.9632374858512687
G22	G24	1.961571010812178
G24	G22	1.961571010812178
G2	G4	1.9610625448572565
G4	G2	1.9610625448572565
G95	G96	1.960560161025199
G96	G95	1.960560161025199
G32	G38	1.960470241816757
G38	G32	1.960470241816757
G3	G36	1.959875460793255
G36	G3	1.959875460793255
G21	G23	1.9596941192743067
G23	G21	1.9596941192743067
G41	G45	1.9591194236178762
G45	G41	1.9591194236178762
G64	G97	1.9580982079094804
G97	G64	1.9580982079094804
G89	G91	1.9576386655213356
G91	G89	1.9576386655213356
G84	G99	1.9552571651864745
G99	G84	1.9552571651864745
G86	G95	1.9551203101088561
G95	G86	1.9551203101088561
G95	G99	1.9550863370097062
G99	G95	1.9550863370097062
G48	G50	1.9544405636327071
G50	G48	1.9544405636327071
G33	G61	1.9539977130171877
G61	G33	1.9539977130171877
G14	G7	1.9537027066211468
G7	G14	1.9537027066211468
G5	G6	1.950580030027977
G6	G5	1.950580030027977
