G45	G39	7.84391701746862
G39	G45	7.84391701746862
G9	G13	6.11776442222585
G13	G9	6.11776442222585
G29	G38	5.88445262088054
G38	G29	5.88445262088054
G5	G9	5.80704194149629
G9	G5	5.80704194149629
G9	G7	5.04433727760543
G7	G9	5.04433727760543
G38	G36	5.03270879617648
G36	G38	5.03270879617648
G49	G48	5.0219473797628
G48	G49	5.0219473797628
G14	G10	4.87172245640341
G10	G14	4.87172245640341
G10	G16	4.84741013786447
G16	G10	4.84741013786447
G34	G23	4.76522649246446
G23	G34	4.76522649246446
G8	G38	4.43576579180635
G38	G8	4.43576579180635
G5	G7	4.32404241845809
G7	G5	4.32404241845809
G4	G10	4.30605535827111
G10	G4	4.30605535827111
G14	G16	4.29583244978092
G16	G14	4.29583244978092
G5	G13	4.12177063590315
G13	G5	4.12177063590315
G26	G28	4.07811878398698
G28	G26	4.07811878398698
G48	G1	3.97340632394831
G1	G48	3.97340632394831
G14	G12	3.84494433105709
G12	G14	3.84494433105709
G2	G30	3.75649056809142
G30	G2	3.75649056809142
G28	G25	3.74472500397314
G25	G28	3.74472500397314
G7	G13	3.73597727086827
G13	G7	3.73597727086827
G8	G29	3.69606879683671
G29	G8	3.69606879683671
G25	G34	3.68690305288503
G34	G25	3.68690305288503
G14	G4	3.58855574585937
G4	G14	3.58855574585937
G12	G10	3.56471288135467
G10	G12	3.56471288135467
G43	G44	3.55220896868652
G44	G43	3.55220896868652
G40	G37	3.5425963950915
G37	G40	3.5425963950915
G12	G4	3.51776605930846
G4	G12	3.51776605930846
G34	G26	3.48259185854743
G26	G34	3.48259185854743
G37	G28	3.41389751240482
G28	G37	3.41389751240482
G22	G31	3.40836878378741
G31	G22	3.40836878378741
G47	G49	3.36744616036912
G49	G47	3.36744616036912
G8	G36	3.28715691528595
G36	G8	3.28715691528595
G44	G35	3.24383908828823
G35	G44	3.24383908828823
G22	G8	3.21912061085204
G8	G22	3.21912061085204
G25	G37	3.21877013660932
G37	G25	3.21877013660932
G8	G21	3.20411084244983
G21	G8	3.20411084244983
G36	G29	3.18851939638619
G29	G36	3.18851939638619
G25	G30	3.16906967198293
G30	G25	3.16906967198293
G4	G16	3.15483791052657
G16	G4	3.15483791052657
G34	G18	3.07304811443112
G18	G34	3.07304811443112
G5	G27	3.00972381998352
G27	G5	3.00972381998352
G21	G23	3.00435826665538
G23	G21	3.00435826665538
G21	G34	2.99335352673275
G34	G21	2.99335352673275
G26	G18	2.96422037198729
G18	G26	2.96422037198729
G47	G34	2.91045205379695
G34	G47	2.91045205379695
G42	G37	2.90988144710548
G37	G42	2.90988144710548
G8	G26	2.85022212793566
G26	G8	2.85022212793566
G8	G33	2.83575545568106
G33	G8	2.83575545568106
G47	G35	2.80452576698513
G35	G47	2.80452576698513
G48	G47	2.80382579081752
G47	G48	2.80382579081752
G37	G43	2.78006645822999
G43	G37	2.78006645822999
G46	G21	2.77955380379866
G21	G46	2.77955380379866
G43	G41	2.73137464170151
G41	G43	2.73137464170151
G26	G15	2.71139083368563
G15	G26	2.71139083368563
G1	G2	2.6969955709671
G2	G1	2.6969955709671
G37	G20	2.68626188547478
G20	G37	2.68626188547478
G16	G20	2.67904463462675
G20	G16	2.67904463462675
G34	G8	2.67789538183628
G8	G34	2.67789538183628
G33	G49	2.66860761960305
G49	G33	2.66860761960305
G37	G35	2.66004632398959
G35	G37	2.66004632398959
G26	G24	2.65777808858867
G24	G26	2.65777808858867
G43	G40	2.63766306699818
G40	G43	2.63766306699818
G33	G36	2.57843909186481
G36	G33	2.57843909186481
G44	G37	2.5553144969396
G37	G44	2.5553144969396
G18	G25	2.52683073654848
G25	G18	2.52683073654848
G50	G25	2.50581285292748
G25	G50	2.50581285292748
G34	G15	2.50304086864541
G15	G34	2.50304086864541
G12	G50	2.45556570580557
G50	G12	2.45556570580557
G26	G21	2.42713850979118
G21	G26	2.42713850979118
G19	G37	2.42584741110655
G37	G19	2.42584741110655
G22	G21	2.42569305116516
G21	G22	2.42569305116516
G8	G37	2.42261501780172
G37	G8	2.42261501780172
G6	G37	2.40423009966231
G37	G6	2.40423009966231
G34	G41	2.39903937803846
